Temperature,Humidity,Moisture,Soil Type,Nitrogen,Potassium,Phosphorous,Season,Region,Crop Type
33.3,37.9,35.5,Red,27,46,29,Zaid,Central,Ground Nuts
32.6,76.7,43.9,Alluvial,49,54,28,Kharif,South,Rice
30.2,63.6,43.6,Sandy,42,47,13,Kharif,West,Rice
22.2,64.5,57.8,Red,51,39,30,Rabi,South,Pulses
22.6,45.6,28.2,Alluvial,17,18,20,Rabi,West,Wheat
31.5,71.8,47.6,Sandy,37,6,38,Kharif,South,Rice
38.8,44.6,30.9,Alluvial,31,53,26,Zaid,South,Sugarcane
34.1,42.9,36.7,Black,42,57,12,Zaid,North,Cotton
37.4,48.8,36.3,Alluvial,44,56,44,Zaid,Central,Wheat
26.1,61.9,20.1,Clayey,35,30,41,Kharif,Central,Rice
27.7,91.6,36.7,Black,43,58,36,Kharif,East,Cotton
29.0,84.5,52.7,Red,10,43,20,Kharif,West,Oil seeds
16.8,79.2,28.2,Alluvial,31,18,33,Rabi,South,Wheat
30.7,82.0,46.0,Sandy,45,34,37,Kharif,Central,Maize
34.2,51.1,40.0,Red,14,8,49,Zaid,North,Millets
23.0,65.7,41.5,Black,11,36,32,Rabi,Central,Millets
30.3,81.6,55.9,Loamy,42,41,47,Kharif,West,Maize
26.3,86.4,44.5,Alluvial,49,47,14,Kharif,East,Rice
35.6,45.0,37.9,Loamy,35,30,14,Zaid,East,Tobacco
18.0,47.6,31.8,Alluvial,16,57,8,Rabi,North,Wheat
31.6,73.2,39.1,Sandy,45,41,14,Kharif,East,Oil seeds
18.0,67.5,46.1,Loamy,58,52,39,Rabi,West,Barley
34.3,45.6,50.4,Loamy,41,16,41,Zaid,North,Ground Nuts
20.9,75.5,35.6,Loamy,34,45,39,Rabi,East,Pulses
31.9,52.5,15.4,Clayey,22,53,23,Kharif,South,Rice
29.8,70.9,49.8,Sandy,37,35,18,Kharif,South,Rice
30.3,81.0,31.8,Red,44,29,16,Kharif,East,Maize
36.3,60.6,42.7,Black,32,43,20,Kharif,East,Millets
30.0,66.0,40.8,Loamy,14,27,39,Kharif,North,Maize
17.3,78.1,44.0,Sandy,56,13,16,Rabi,North,Pulses
36.2,60.9,35.7,Sandy,59,6,31,Zaid,West,Millets
35.4,59.2,35.2,Clayey,16,49,29,Zaid,Central,Ground Nuts
28.0,88.6,19.6,Sandy,35,43,23,Kharif,North,Maize
34.7,59.1,35.8,Clayey,59,24,32,Kharif,South,Maize
37.5,56.2,44.9,Clayey,58,37,29,Zaid,West,Ground Nuts
30.3,77.2,40.1,Red,46,39,40,Kharif,Central,Maize
28.6,77.2,35.3,Alluvial,24,5,35,Kharif,West,Rice
17.8,72.0,58.2,Clayey,25,15,27,Rabi,North,Wheat
19.6,69.8,25.5,Black,37,30,40,Rabi,West,Millets
32.4,61.5,34.4,Alluvial,37,41,32,Kharif,Central,Rice
21.4,78.8,49.5,Clayey,37,17,33,Rabi,East,Wheat
28.3,61.8,58.3,Black,39,9,49,Kharif,East,Millets
19.7,57.2,43.0,Loamy,34,31,26,Rabi,South,Pulses
32.8,44.4,41.1,Loamy,50,5,39,Zaid,South,Ground Nuts
21.4,79.1,43.2,Loamy,32,57,41,Rabi,South,Wheat
20.8,56.9,24.0,Loamy,55,55,5,Rabi,North,Wheat
33.3,44.6,43.4,Loamy,43,35,32,Zaid,South,Tobacco
36.0,52.7,32.5,Alluvial,43,54,7,Zaid,South,Rice
20.7,71.5,50.3,Clayey,26,19,27,Rabi,East,Pulses
35.3,54.7,52.1,Red,20,42,43,Zaid,Central,Millets
20.8,60.5,56.1,Sandy,24,55,31,Rabi,North,Barley
25.1,57.3,47.2,Sandy,47,28,37,Rabi,South,Pulses
18.9,65.3,59.1,Loamy,38,14,8,Rabi,North,Wheat
35.5,49.9,48.0,Sandy,29,9,28,Zaid,North,Ground Nuts
20.0,64.0,51.2,Red,57,55,15,Rabi,North,Wheat
25.7,53.3,60.3,Clayey,25,15,35,Kharif,South,Oil seeds
21.5,50.6,34.9,Black,12,7,36,Rabi,North,Cotton
15.8,64.7,40.2,Red,28,9,25,Rabi,West,Barley
32.4,39.6,40.5,Loamy,14,16,45,Zaid,South,Ground Nuts
18.0,54.5,28.0,Clayey,23,49,30,Rabi,East,Barley
17.5,57.3,59.6,Sandy,39,52,47,Rabi,South,Pulses
29.4,73.9,37.8,Black,10,53,12,Kharif,North,Cotton
30.5,75.4,48.0,Loamy,23,32,30,Kharif,Central,Oil seeds
30.2,68.7,18.1,Black,54,18,30,Kharif,Central,Cotton
36.7,53.8,36.4,Clayey,24,59,29,Zaid,Central,Tobacco
23.6,58.1,39.5,Sandy,26,26,43,Rabi,East,Wheat
33.5,47.2,42.2,Alluvial,13,7,14,Zaid,South,Rice
32.7,72.0,61.7,Black,45,38,26,Kharif,Central,Millets
28.3,73.9,19.9,Black,46,56,10,Rabi,Central,Cotton
37.1,57.4,59.1,Black,54,41,10,Zaid,Central,Millets
17.5,47.4,51.9,Clayey,39,28,35,Rabi,East,Pulses
34.9,30.0,46.8,Red,45,35,28,Zaid,Central,Ground Nuts
30.5,84.1,39.9,Loamy,47,19,6,Kharif,Central,Oil seeds
35.9,36.0,66.2,Red,54,9,48,Zaid,Central,Tobacco
17.7,50.0,42.8,Loamy,58,51,16,Rabi,North,Pulses
9.0,69.9,47.6,Sandy,47,15,41,Rabi,East,Wheat
29.4,79.8,22.7,Sandy,19,27,9,Kharif,South,Rice
33.7,61.0,42.3,Alluvial,49,24,6,Kharif,South,Rice
32.5,63.7,45.3,Sandy,33,59,42,Kharif,East,Rice
34.3,72.9,41.6,Loamy,14,54,48,Kharif,West,Maize
35.7,45.2,40.9,Clayey,31,12,33,Zaid,Central,Tobacco
29.5,80.3,47.0,Clayey,39,25,39,Kharif,North,Rice
28.3,68.2,47.4,Black,34,46,49,Kharif,West,Cotton
30.7,87.0,35.9,Loamy,48,18,44,Kharif,East,Oil seeds
30.8,83.1,16.7,Clayey,42,21,29,Kharif,East,Maize
26.0,57.6,48.2,Loamy,23,44,44,Rabi,North,Barley
27.3,77.9,41.7,Alluvial,17,56,46,Kharif,Central,Sugarcane
36.1,54.1,52.5,Alluvial,39,31,43,Zaid,Central,Rice
28.5,79.0,29.1,Loamy,42,26,8,Kharif,Central,Oil seeds
16.7,59.5,58.4,Red,19,58,37,Rabi,North,Pulses
37.6,46.4,35.7,Black,21,6,49,Zaid,North,Millets
33.9,50.2,38.6,Loamy,45,30,40,Zaid,Central,Tobacco
27.7,62.6,22.2,Clayey,56,50,30,Kharif,Central,Oil seeds
26.0,67.6,42.1,Sandy,49,29,22,Rabi,Central,Wheat
23.5,50.6,31.2,Red,57,9,8,Rabi,North,Wheat
20.8,62.2,44.4,Sandy,51,35,32,Rabi,South,Pulses
32.3,65.1,41.8,Alluvial,31,27,15,Zaid,Central,Wheat
20.4,56.7,35.3,Clayey,35,58,40,Rabi,West,Barley
34.1,57.6,29.5,Alluvial,24,51,25,Zaid,East,Rice
17.1,58.4,35.7,Red,35,39,45,Rabi,Central,Wheat
36.7,31.4,37.7,Black,27,38,31,Zaid,South,Cotton
22.5,61.6,47.8,Loamy,53,29,28,Rabi,North,Pulses
21.9,74.5,37.7,Clayey,52,30,26,Kharif,Central,Maize
32.1,72.3,28.9,Black,37,53,44,Kharif,Central,Millets
15.8,48.8,26.4,Loamy,28,34,36,Rabi,North,Wheat
24.3,100.7,28.9,Black,27,18,5,Kharif,North,Cotton
20.9,78.2,24.7,Loamy,39,55,42,Rabi,Central,Pulses
31.2,56.6,36.3,Red,38,7,43,Rabi,East,Wheat
32.2,43.8,28.9,Red,32,36,32,Zaid,East,Ground Nuts
35.3,84.4,52.7,Sandy,10,28,7,Kharif,East,Rice
35.1,38.7,22.9,Black,46,55,7,Zaid,West,Cotton
24.0,47.8,47.1,Red,43,36,39,Rabi,East,Barley
20.1,60.6,23.1,Loamy,27,14,11,Rabi,West,Wheat
27.3,58.3,57.6,Clayey,11,51,5,Kharif,Central,Oil seeds
25.5,86.4,35.4,Black,21,9,24,Kharif,South,Millets
33.3,86.9,33.3,Clayey,18,57,38,Kharif,Central,Oil seeds
20.8,59.0,34.6,Black,19,50,34,Rabi,West,Millets
31.2,61.7,38.8,Clayey,59,18,21,Kharif,South,Maize
23.5,70.6,26.4,Clayey,31,50,47,Rabi,West,Wheat
28.6,75.2,43.5,Red,54,27,38,Kharif,East,Oil seeds
23.8,65.4,53.5,Alluvial,50,38,42,Rabi,East,Sugarcane
30.4,95.1,47.2,Black,21,57,27,Kharif,South,Cotton
38.2,62.6,30.0,Alluvial,54,30,21,Zaid,South,Sugarcane
36.0,61.2,35.0,Loamy,55,58,6,Zaid,West,Ground Nuts
29.0,77.0,25.7,Clayey,30,44,15,Kharif,North,Rice
31.7,83.2,38.8,Red,48,39,44,Kharif,North,Oil seeds
19.5,65.6,22.5,Red,56,23,24,Rabi,East,Pulses
29.6,69.2,41.2,Red,54,38,47,Kharif,South,Oil seeds
34.0,68.4,27.3,Alluvial,10,47,29,Zaid,North,Rice
32.3,42.4,63.0,Alluvial,44,54,7,Zaid,West,Sugarcane
36.3,57.8,46.2,Sandy,28,48,41,Zaid,North,Millets
25.3,81.6,50.1,Loamy,58,20,16,Kharif,North,Maize
35.8,54.9,45.6,Black,25,12,10,Zaid,North,Millets
24.3,59.3,23.4,Black,24,45,30,Rabi,West,Cotton
21.7,62.1,42.7,Sandy,16,19,18,Rabi,North,Pulses
26.2,64.2,50.5,Loamy,57,54,12,Kharif,South,Oil seeds
37.7,47.1,53.6,Clayey,48,18,21,Zaid,Central,Tobacco
9.2,45.9,45.0,Sandy,54,7,38,Rabi,Central,Barley
26.9,87.8,37.4,Sandy,24,33,8,Kharif,South,Oil seeds
30.4,87.3,48.4,Red,42,49,20,Kharif,South,Rice
32.3,54.7,47.1,Loamy,44,50,43,Zaid,Central,Millets
35.1,59.8,33.2,Black,38,20,48,Zaid,West,Cotton
28.7,89.5,55.8,Sandy,39,49,7,Kharif,West,Oil seeds
34.0,39.2,30.8,Red,13,41,22,Zaid,East,Ground Nuts
29.9,77.3,55.5,Sandy,21,41,41,Kharif,South,Oil seeds
27.0,73.3,31.7,Clayey,55,15,28,Kharif,South,Oil seeds
34.8,50.4,51.4,Sandy,54,47,14,Zaid,East,Ground Nuts
34.3,45.9,34.0,Loamy,58,10,7,Zaid,Central,Tobacco
22.1,71.9,41.0,Loamy,29,39,46,Rabi,East,Barley
32.0,56.4,50.5,Clayey,33,36,7,Zaid,West,Tobacco
28.9,53.3,17.5,Loamy,37,13,33,Rabi,South,Barley
16.5,59.3,38.1,Clayey,34,15,9,Rabi,South,Barley
34.6,43.6,26.2,Alluvial,14,22,30,Zaid,South,Rice
27.8,69.8,42.2,Clayey,26,49,44,Kharif,West,Maize
37.6,69.7,35.1,Alluvial,43,31,44,Kharif,East,Sugarcane
24.2,64.1,46.4,Red,33,20,23,Rabi,East,Barley
32.8,79.2,44.1,Loamy,52,29,49,Kharif,South,Rice
22.9,50.7,45.9,Loamy,14,49,47,Rabi,East,Barley
34.7,51.2,52.1,Sandy,40,40,22,Zaid,Central,Ground Nuts
33.4,62.5,43.4,Loamy,21,6,43,Zaid,North,Millets
32.5,60.1,40.2,Sandy,40,28,38,Kharif,West,Oil seeds
30.3,72.8,41.9,Sandy,28,11,34,Kharif,Central,Rice
22.2,60.5,52.1,Black,39,33,41,Rabi,North,Cotton
32.1,45.6,44.9,Black,45,31,8,Zaid,East,Cotton
36.0,45.2,37.7,Loamy,31,22,30,Zaid,West,Millets
38.7,52.9,34.7,Sandy,16,15,33,Zaid,East,Millets
28.7,86.3,34.3,Black,32,38,30,Kharif,Central,Cotton
22.9,45.5,18.0,Clayey,48,59,19,Rabi,North,Wheat
17.8,68.8,44.6,Sandy,29,15,26,Rabi,Central,Pulses
22.3,57.8,28.5,Red,30,41,20,Rabi,West,Pulses
32.5,63.3,49.0,Sandy,24,39,38,Zaid,East,Millets
29.4,75.7,37.7,Alluvial,21,19,22,Kharif,North,Sugarcane
30.1,43.4,35.8,Loamy,38,19,12,Rabi,West,Pulses
34.0,63.0,15.2,Loamy,16,33,7,Zaid,North,Tobacco
30.6,82.1,39.1,Red,23,21,11,Kharif,West,Oil seeds
37.9,38.6,46.1,Sandy,18,52,42,Zaid,West,Tobacco
17.0,59.9,24.1,Sandy,33,15,12,Rabi,Central,Pulses
22.3,79.6,36.1,Black,27,42,35,Rabi,South,Millets
24.1,49.1,43.7,Red,17,26,15,Rabi,South,Pulses
21.9,53.8,44.4,Loamy,21,19,36,Rabi,West,Pulses
29.6,59.8,45.2,Loamy,41,6,37,Rabi,East,Barley
27.1,70.2,40.9,Loamy,39,17,37,Rabi,East,Pulses
34.6,44.1,42.0,Clayey,55,38,19,Zaid,West,Ground Nuts
15.7,61.0,37.3,Loamy,49,7,15,Rabi,West,Barley
30.6,83.8,54.8,Clayey,50,12,16,Kharif,South,Maize
26.1,61.5,45.2,Red,29,15,11,Rabi,West,Wheat
35.2,57.6,38.0,Clayey,12,46,45,Zaid,West,Tobacco
25.3,76.9,35.4,Alluvial,21,16,27,Rabi,Central,Sugarcane
15.9,54.7,46.2,Clayey,53,10,22,Rabi,North,Pulses
37.3,42.5,47.5,Alluvial,41,7,45,Zaid,North,Sugarcane
34.6,43.9,35.9,Sandy,24,11,37,Zaid,Central,Tobacco
32.2,58.7,38.9,Loamy,40,24,28,Zaid,North,Tobacco
37.8,56.1,40.3,Red,59,45,36,Zaid,South,Tobacco
26.3,76.8,35.4,Sandy,45,19,6,Rabi,West,Wheat
34.7,57.1,46.5,Red,21,49,7,Zaid,West,Ground Nuts
25.3,87.5,38.7,Sandy,42,30,39,Kharif,South,Maize
36.0,52.1,34.5,Black,23,59,6,Zaid,South,Cotton
33.7,44.4,38.6,Clayey,50,43,18,Zaid,North,Millets
33.4,57.6,36.4,Sandy,37,39,6,Kharif,Central,Rice
32.8,39.6,51.6,Loamy,49,40,16,Zaid,South,Tobacco
34.9,53.8,40.8,Sandy,19,34,16,Zaid,North,Tobacco
14.9,58.4,28.5,Black,17,16,47,Rabi,East,Cotton
33.3,54.2,48.5,Loamy,46,32,48,Zaid,North,Millets
33.7,76.7,50.9,Clayey,29,6,18,Kharif,North,Oil seeds
34.4,46.4,41.5,Alluvial,44,41,10,Zaid,Central,Wheat
28.6,73.1,44.5,Black,58,16,18,Kharif,South,Cotton
30.4,79.5,38.7,Alluvial,56,54,47,Kharif,Central,Rice
37.2,53.4,19.1,Loamy,32,56,49,Zaid,North,Tobacco
16.2,66.4,42.8,Black,41,9,42,Rabi,South,Cotton
28.0,74.0,39.7,Alluvial,27,30,21,Kharif,Central,Sugarcane
20.8,70.5,51.1,Black,28,20,35,Rabi,East,Cotton
24.7,65.1,49.9,Black,50,32,30,Rabi,Central,Millets
31.0,63.9,48.0,Loamy,34,13,17,Kharif,South,Rice
18.4,57.4,34.9,Alluvial,20,38,8,Rabi,North,Rice
24.9,65.7,50.5,Loamy,27,45,17,Kharif,North,Oil seeds
22.3,67.9,36.1,Loamy,10,58,28,Rabi,East,Barley
32.3,59.3,53.4,Sandy,24,23,25,Zaid,South,Tobacco
26.3,50.1,18.5,Clayey,58,53,36,Rabi,South,Barley
29.1,74.7,28.1,Red,23,6,14,Kharif,North,Maize
35.6,32.0,33.2,Loamy,35,52,12,Zaid,South,Millets
30.3,63.2,38.5,Alluvial,52,10,27,Kharif,West,Wheat
13.5,68.5,49.8,Sandy,52,25,49,Rabi,South,Barley
32.3,77.8,41.0,Clayey,24,25,8,Kharif,West,Rice
34.9,38.8,39.0,Black,23,52,8,Zaid,North,Cotton
28.2,62.8,40.6,Red,17,46,20,Rabi,South,Pulses
32.3,90.1,47.7,Red,58,8,17,Kharif,West,Rice
30.3,88.1,34.6,Black,58,46,46,Kharif,West,Millets
36.0,48.8,48.0,Alluvial,16,48,5,Zaid,Central,Wheat
30.4,70.7,41.2,Sandy,30,32,26,Kharif,Central,Maize
22.2,53.0,33.4,Red,19,46,28,Rabi,Central,Wheat
34.4,56.0,47.5,Black,59,23,28,Zaid,East,Cotton
27.9,79.4,48.9,Alluvial,34,23,22,Kharif,South,Rice
27.5,96.5,28.1,Alluvial,44,38,48,Kharif,South,Wheat
21.2,84.7,21.1,Sandy,31,19,41,Rabi,South,Wheat
27.9,68.6,26.7,Black,22,6,29,Kharif,North,Millets
23.0,66.7,24.5,Alluvial,27,46,7,Rabi,North,Sugarcane
26.7,54.5,45.7,Red,48,50,49,Rabi,North,Wheat
26.5,68.1,26.9,Red,45,13,7,Rabi,Central,Barley
26.7,67.9,34.1,Red,58,9,6,Kharif,North,Maize
29.4,77.0,34.0,Clayey,17,12,42,Kharif,Central,Maize
35.9,66.9,28.3,Black,15,27,6,Zaid,South,Millets
15.1,45.0,26.7,Black,44,27,38,Rabi,South,Cotton
27.9,74.4,45.6,Black,22,35,33,Kharif,Central,Cotton
35.2,44.6,45.2,Sandy,51,59,34,Zaid,East,Ground Nuts
27.8,87.4,50.9,Sandy,25,49,34,Kharif,North,Oil seeds
31.8,67.5,47.9,Alluvial,39,24,25,Kharif,Central,Sugarcane
17.0,62.3,34.7,Clayey,25,42,16,Rabi,North,Wheat
35.7,47.7,35.9,Clayey,54,45,6,Zaid,West,Millets
12.7,65.1,29.0,Loamy,13,59,22,Rabi,North,Wheat
11.4,64.5,34.7,Alluvial,24,41,26,Rabi,East,Sugarcane
35.1,30.3,48.9,Sandy,54,34,39,Zaid,North,Millets
23.1,80.7,46.0,Black,23,19,13,Kharif,Central,Millets
32.6,47.2,29.6,Red,29,14,22,Zaid,West,Ground Nuts
25.3,57.7,42.0,Red,42,35,40,Rabi,East,Barley
29.9,57.0,33.5,Loamy,12,45,39,Rabi,West,Wheat
22.1,65.1,50.0,Clayey,43,25,12,Rabi,North,Pulses
20.2,65.3,39.3,Alluvial,22,18,35,Rabi,North,Sugarcane
36.0,47.0,46.3,Loamy,15,33,36,Zaid,North,Tobacco
20.2,57.7,26.9,Red,14,38,23,Rabi,South,Barley
13.7,53.1,39.4,Alluvial,20,19,35,Rabi,South,Wheat
17.5,57.0,36.1,Loamy,13,43,8,Rabi,South,Pulses
35.3,44.1,32.6,Sandy,38,42,40,Zaid,Central,Ground Nuts
15.8,57.9,38.7,Red,44,31,11,Rabi,East,Barley
37.0,59.7,36.8,Loamy,46,9,26,Zaid,North,Ground Nuts
29.9,73.3,36.1,Sandy,24,14,25,Kharif,North,Maize
30.0,65.1,45.8,Sandy,14,17,5,Kharif,North,Oil seeds
35.0,54.6,41.2,Alluvial,30,8,30,Zaid,North,Wheat
33.1,46.9,45.5,Alluvial,27,39,44,Zaid,East,Sugarcane
32.3,37.1,54.7,Red,22,21,45,Zaid,North,Millets
34.6,53.7,41.7,Black,11,37,33,Zaid,West,Millets
19.6,69.2,54.1,Sandy,31,53,12,Rabi,East,Wheat
24.9,53.6,41.7,Sandy,33,23,49,Rabi,East,Wheat
17.6,59.2,50.9,Loamy,44,21,28,Rabi,East,Pulses
22.3,46.5,30.3,Clayey,20,23,19,Rabi,Central,Barley
15.8,65.4,51.9,Clayey,19,51,42,Rabi,Central,Wheat
36.4,58.0,32.4,Red,34,6,13,Zaid,North,Millets
16.6,51.2,49.6,Alluvial,19,40,25,Rabi,North,Rice
34.9,61.6,58.0,Clayey,40,36,20,Zaid,East,Tobacco
32.9,52.9,31.7,Clayey,49,29,18,Zaid,Central,Tobacco
35.4,45.9,32.4,Sandy,29,48,25,Zaid,West,Millets
20.8,58.4,26.6,Alluvial,41,59,34,Rabi,South,Wheat
23.7,56.5,45.5,Alluvial,56,25,22,Rabi,West,Wheat
29.3,91.1,44.9,Alluvial,16,48,27,Kharif,East,Sugarcane
36.5,48.8,36.4,Alluvial,31,29,47,Zaid,Central,Wheat
19.6,59.1,48.1,Red,40,55,19,Rabi,East,Barley
36.2,46.6,30.6,Sandy,31,41,47,Zaid,East,Millets
35.5,70.8,45.7,Loamy,38,43,34,Zaid,Central,Tobacco
24.7,85.0,42.1,Sandy,46,46,12,Kharif,Central,Oil seeds
37.7,52.0,45.4,Alluvial,13,39,44,Zaid,West,Sugarcane
21.4,72.9,35.8,Alluvial,52,14,29,Rabi,West,Wheat
23.0,65.8,55.4,Sandy,57,13,17,Rabi,South,Wheat
32.8,73.7,40.1,Black,35,21,16,Kharif,East,Cotton
36.5,59.0,46.3,Black,15,41,23,Zaid,West,Millets
21.9,57.1,30.6,Sandy,13,14,24,Rabi,Central,Wheat
35.4,57.5,25.8,Loamy,49,25,43,Zaid,Central,Ground Nuts
31.5,46.7,28.2,Red,26,8,11,Zaid,West,Millets
35.4,75.8,37.8,Clayey,13,38,28,Kharif,Central,Oil seeds
34.4,62.8,55.6,Loamy,28,26,23,Zaid,South,Ground Nuts
24.3,68.5,40.8,Red,54,34,40,Rabi,Central,Pulses
33.9,67.8,21.3,Clayey,27,51,32,Kharif,Central,Rice
15.9,78.5,52.2,Sandy,36,10,19,Rabi,North,Barley
22.3,63.0,26.2,Sandy,19,17,7,Rabi,East,Wheat
32.2,91.8,56.8,Sandy,54,46,23,Kharif,North,Oil seeds
22.9,55.9,45.3,Alluvial,14,41,33,Rabi,West,Sugarcane
29.6,43.6,41.6,Alluvial,35,43,8,Zaid,South,Sugarcane
21.3,57.3,30.0,Red,29,29,28,Rabi,West,Barley
19.6,58.0,31.2,Sandy,37,14,18,Rabi,South,Pulses
33.3,57.3,32.0,Sandy,51,17,29,Zaid,Central,Tobacco
33.6,46.1,50.5,Clayey,30,54,8,Zaid,North,Ground Nuts
28.1,42.4,29.7,Clayey,24,36,22,Rabi,South,Barley
21.0,60.9,47.0,Red,51,48,30,Rabi,South,Pulses
30.3,80.4,52.5,Sandy,46,22,25,Kharif,South,Maize
31.3,68.0,34.4,Black,34,16,25,Kharif,Central,Millets
32.9,43.5,36.8,Clayey,59,46,8,Zaid,North,Ground Nuts
30.8,69.1,43.7,Black,43,47,32,Kharif,Central,Cotton
20.1,61.8,36.3,Sandy,26,10,38,Rabi,West,Barley
36.1,46.5,29.0,Clayey,31,14,6,Zaid,Central,Millets
19.1,36.4,29.9,Black,48,16,26,Rabi,North,Cotton
30.1,67.7,38.2,Alluvial,58,11,36,Kharif,Central,Rice
34.1,76.3,50.7,Sandy,13,19,26,Kharif,Central,Maize
31.0,72.5,37.1,Loamy,37,53,30,Kharif,North,Rice
25.3,83.8,39.2,Loamy,42,56,46,Kharif,East,Rice
28.4,87.1,18.0,Sandy,52,9,23,Kharif,East,Rice
15.9,41.7,42.0,Red,37,40,45,Rabi,East,Wheat
33.1,41.0,28.6,Alluvial,55,22,44,Zaid,East,Sugarcane
31.6,79.8,31.5,Loamy,21,11,6,Kharif,East,Oil seeds
31.9,60.4,65.4,Loamy,17,36,41,Zaid,Central,Tobacco
20.7,50.4,44.2,Clayey,13,10,34,Rabi,East,Barley
35.7,45.7,29.4,Loamy,39,38,17,Zaid,South,Millets
29.9,63.1,37.4,Clayey,36,29,9,Kharif,West,Maize
34.0,54.5,42.9,Alluvial,37,13,33,Zaid,Central,Rice
29.8,76.7,53.2,Red,28,15,48,Kharif,North,Oil seeds
30.8,82.3,28.9,Black,31,16,7,Kharif,North,Millets
27.5,65.0,35.0,Sandy,30,30,32,Kharif,East,Maize
29.3,71.3,36.1,Black,56,15,22,Kharif,South,Millets
33.2,59.7,55.2,Red,31,9,21,Zaid,East,Ground Nuts
31.3,78.8,35.1,Black,44,32,44,Kharif,Central,Cotton
30.9,65.8,45.0,Clayey,29,12,5,Kharif,Central,Rice
23.5,56.2,34.0,Black,30,57,39,Rabi,Central,Millets
15.2,74.6,34.8,Black,45,21,16,Rabi,Central,Cotton
22.9,66.7,27.9,Clayey,42,31,10,Rabi,South,Pulses
23.3,50.3,41.5,Clayey,55,18,42,Rabi,East,Wheat
20.6,71.0,42.5,Red,23,53,24,Rabi,South,Barley
29.8,72.8,44.2,Clayey,57,50,23,Kharif,Central,Rice
35.4,52.5,48.9,Red,28,42,18,Zaid,South,Tobacco
33.9,36.4,45.3,Loamy,23,57,15,Zaid,North,Tobacco
15.8,49.3,49.5,Black,50,33,20,Rabi,East,Cotton
35.1,70.0,48.0,Red,21,15,39,Kharif,West,Maize
27.8,75.4,43.5,Loamy,42,13,13,Kharif,West,Rice
33.5,84.8,45.0,Alluvial,33,5,36,Kharif,South,Rice
15.5,58.9,30.1,Alluvial,31,25,44,Rabi,Central,Wheat
34.1,59.8,57.5,Red,38,59,8,Zaid,North,Ground Nuts
16.1,60.3,37.4,Black,31,6,48,Rabi,East,Millets
10.4,57.9,22.5,Sandy,50,12,5,Rabi,Central,Wheat
